"WKT"
"MULTILINESTRING ((1400339.4216041313 -709182.30477956438,1400361.7905894672 -709120.52485156315))"
"MULTILINESTRING ((1397013.4115404414 -703041.84637749835,1396964.6439171291 -702970.3139831227))"
"MULTILINESTRING ((1397974.4150456029 -702107.41252728156,1397865.3897834879 -702074.14628664299))"
"MULTILINESTRING ((1399490.8094995443 -706243.8878172281,1399491.5269029129 -706150.77701045561))"
"MULTILINESTRING ((1400138.8137636718 -708006.5722165897,1400192.271771939 -707874.78284328582))"
"MULTILINESTRING ((1400549.9392053089 -706266.12483200605,1400526.1476638417 -706055.40076410805))"
"MULTILINESTRING ((1397208.9821503253 -705077.25599065027,1397068.7311710136 -704930.32698726503,1396937.8956087707 -704940.01681479998,1396869.9645071339 -704839.29120919132))"
"MULTILINESTRING ((1399129.1775200611 -702638.85803473485,1399167.6069059521 -702643.75276254385))"
"MULTILINESTRING ((1400753.2591802664 -711075.40141643176,1400693.9639619712 -711090.71753321821))"
"MULTILINESTRING ((1397654.3766303712 -706401.03414451075,1397642.2258891459 -706447.57543569477))"
"MULTILINESTRING ((1398281.4401049386 -702674.04301798332,1398122.0453287389 -702681.88547961495))"
"MULTILINESTRING ((1398277.4784643927 -704541.20941815374,1398167.3737304998 -704622.80255102052,1398107.2593364927 -704742.31306272268,1398083.4157887246 -705337.87226776802,1397768.2728681322 -705656.65419413755))"
"MULTILINESTRING ((1399148.0071299805 -704845.92680404149,1399227.9106885178 -704813.77802008402))"
"MULTILINESTRING ((1397016.5350955813 -703349.89869860723,1396899.302157128 -703552.52445751976))"
"MULTILINESTRING ((1399664.1911078414 -709940.92780368566,1399673.8906791392 -710003.05519971612))"
"MULTILINESTRING ((1401360.0816749255 -710870.3571216889,1401308.5550348812 -710908.47796754004,1401286.6230305601 -711061.13561337697))"
"MULTILINESTRING ((1400443.4918742136 -709825.95410333842,1400392.9378285452 -709872.67647078307))"
"MULTILINESTRING ((1409710.9830341588 -729056.21737908502,1409558.6110296226 -729063.83285114926))"
"MULTILINESTRING ((1398213.3196761948 -705139.46179575275,1398149.7306597622 -705040.97388960491,1398148.7603859585 -704847.72343336628,1398273.496341435 -704755.7188308175,1398326.6775922903 -704637.5325028837,1398460.8001107594 -704564.26352909033))"
"MULTILINESTRING ((1399777.3035901259 -712289.5799437511,1399761.6815019406 -712209.11347191932))"
"MULTILINESTRING ((1398526.9380253227 -708600.43696538999,1398630.5747731784 -708670.29124886892))"
